Region;Pays;Code;Year;Population;Urbain %;Rural %;Poulet (Kg/personne);Bœuf (Kg/personne);Poissons (Kg/personne);Autres viandes (Kg/personne);Import poulets (1000 têtes);Export poulets (1000 têtes);Import poulets (tonnes);Export poulets (tonnes);Production / Tonnes;Political_Stability;Rank;PIB_par_habitant ($);Disponibilités de matière grasse (g/personne/jour);Disponibilités protéiques (g/personne/jour)
Europe;Serbia;SRB;2019;6945235;56.26;43.74;16.58001;8.420005;7.910004;48.500026005;23465;34224;9811.31;6621.52;113577;-0.07;98;7417.20660836868;89.9;87.0
Africa;Seychelles;SYC;2019;97625;57.119;42.881;34.744675;13.487932;52.591938;17.117376338;50;0;2964.39;23.69;754;0.68;50;16851.1197648771;95.4;98.0
Africa;Sierra Leone;SLE;2019;8046828;42.484;57.516;5.45;1.41;25.28;3.05;153;0;19016.68;0.0;19489;-0.05;96;506.606913779078;51.4;49.7
Europe;Slovenia;SVN;2019;2088385;54.822;45.178;28.669931;14.529964;12.999969;30.819926799999998;6026;2001;14324.27;19436.97;70000;0.81;40;26042.4463468032;115.1;97.3
Western Pacific;Solomon Islands;SLB;2019;674993;24.21;75.78999999999999;6.809899;2.169968;36.129467;5.9099125599999995;8;0;3217.26;0.0;285;0.51;66;2398.77305007963;56.4;50.6
Africa;South Africa;ZAF;2019;58087055;66.856;33.144000000000005;37.5;17.66;6.59;7.93;522;6392;459494.95;43549.11;1821257;-0.27;115;6702.52661666304;90.7;79.7
Europe;Spain;ESP;2019;47134837;80.565;19.435000000000002;33.18;13.31;40.42;58.2;49326;27278;95461.05;174117.49;1630610;0.31;73;29581.5185513299;153.6;110.3
South-East Asia;Sri Lanka;LKA;2019;21803000;18.585;81.41499999999999;8.599998;1.1599997;29.379993;0.159999973;510;211;140.58;3674.74;224026;-0.22;108;4082.69404871533;52.2;68.3
Eastern Mediterranean;Sudan;SDN;2019;43232093;34.936;65.064;1.7399999;8.02;1.17;10.7699993;595;0;279.56;0.0;75000;-1.7;178;748.010925292969;70.1;74.7
Americas;Suriname;SUR;2019;600301;66.095;33.905;49.249588;5.6399527;17.469854;8.75992641;0;0;18463.56;120.78;12184;0.1;84;6690.04478601228;77.3;66.0
Europe;Sweden;SWE;2019;10278887;87.708;12.292000000000002;15.939997;23.359997;31.469994;30.64999365;650;6401;52713.43;24977.75;158180;1.04;18;51939.4297445291;133.0;108.0
Europe;Switzerland;CHE;2019;8575280;73.849;26.150999999999996;16.809994;19.089993;16.139994;30.409989000000003;407;1855;30900.15;476.5;100335;1.32;6;84121.9310304414;158.8;96.7
Eastern Mediterranean;Syrian Arab Republic;SYR;2019;20098251;54.821;45.179;7.229999;2.6099997;1.8999997;6.42999948;21834;0;12816.63;24.04;124996;-2.73;189;1124.52055370091;94.5;76.1
Europe;Tajikistan;TJK;2019;9337003;27.309;72.691;2.0799983;23.44998;0.6599995;7.82999327;2531;1;5995.1;1.05;16270;-0.52;134;889.023371804416;80.4;80.3
South-East Asia;Thailand;THA;2019;71307763;50.692;49.308;12.299998;1.6499997;28.779997;12.259997983;1284;16237;1750.51;309399.47;1800799;-0.48;131;7628.57603307351;67.3;63.0
South-East Asia;Timor-Leste;TLS;2019;1280438;30.947;69.053;9.099986;1.8199971;6.6099896;11.879981359999999;2155;0;5845.48;0.0;1132;0.23;76;1583.07860279061;56.9;49.0
Africa;Togo;TGO;2019;8243094;42.248;57.752;8.059998;0.8199997;9.379996;4.5999981000000005;549;0;22985.28;44.62;21522;-0.92;157;848.304534594506;61.1;56.7
Americas;Trinidad and Tobago;TTO;2019;1519955;53.187;46.813;54.399643;6.569957;18.469877;9.109939704;43;0;17340.27;102.08;51413;0.1;85;15642.4067190576;88.8;84.7
Eastern Mediterranean;Tunisia;TUN;2019;12049314;69.254;30.745999999999995;16.819986;4.1699967;13.359989;5.679995792;1207;0;1255.02;1375.64;229461;-0.87;153;3477.83618091653;102.0;99.7
Europe;Türkiye;TUR;2019;82579440;75.63;24.370000000000005;20.639997;12.939999;5.5599995;1.5299998979999998;1359;23358;44003.42;480968.34;2201881;-1.37;170;9215.44087472889;125.9;110.7
Europe;Turkmenistan;TKM;2019;6158420;52.048;47.952;5.7599964;26.489983;2.5799983;22.169986715;405;0;14396.33;39.67;23758;-0.19;107;7344.88020350303;74.9;89.3
Africa;Uganda;UGA;2019;42949080;24.361;75.639;1.6000001;3.8800004;15.270001;4.0900002;201;213;280.0;254.06;67942;-0.69;143;823.024732902811;44.0;46.0
Europe;Ukraine;UKR;2019;44386203;69.473;30.527;26.55;7.4700003;13.580001;18.09000002;32229;0;123035.73;414037.65;1381400;-1.42;172;3661.45776367188;85.9;87.7
Eastern Mediterranean;United Arab Emirates;ARE;2019;9211657;86.789;13.210999999999999;35.21;8.89;26.7;11.42;1291;1545;669021.74;52327.58;44930;0.69;49;45376.1708381558;124.2;82.7
Europe;United Kingdom of Great Britain and Northern Ireland;GBR;2019;66836327;83.652;16.348;34.219997;17.189999;18.199999;30.659997;40206;22816;378688.15;318307.83;1932090;0.54;62;42662.5353740311;143.0;103.7
Africa;United Republic of Tanzania;TZA;2019;59872579;34.5;65.5;0.80999994;7.659999;7.1199994;1.82999974;828;1599;4590.77;0.0;42327;-0.37;124;1050.93176269531;54.4;59.7
Americas;United States of America;USA;2019;328329953;82.459;17.540999999999997;57.469997;37.119995;22.539999;31.7599979;1820;67586;60508.12;3342729.32;22899942;0.13;82;65120.3946628653;181.7;116.3
Americas;Uruguay;URY;2019;3428409;95.426;4.573999999999998;21.059986;28.299982;9.219995;21.589986500000002;134;0;1220.72;2532.39;71651;1.04;19;18098.361548609;113.4;89.0
Europe;Uzbekistan;UZB;2019;33580350;50.433;49.567;2.7400002;29.860004;4.0900006;6.270000420000001;1785;1097;19715.89;175.74;114900;-0.28;117;1795.20176845657;91.2;102.4
Western Pacific;Vanuatu;VUT;2019;304404;25.394;74.606;15.409291;8.5196085;31.618546;13.35938458;16;0;3692.53;0.0;677;1.02;24;3076.58988588361;105.9;65.0
Americas;Venezuela (Bolivarian Republic of);VEN;2019;28971683;88.24;11.760000000000005;16.749996;12.439997;10.009998;5.0599989;0;0;32550.0;0.0;452765;-1.54;173;18224.7;65.3;75.0
Western Pacific;Viet Nam;VNM;2019;95776716;36.628;63.372;13.900001;3.6100001;40.200005;26.01000305;4927;510;254408.67;22110.18;1144553;0.03;91;3491.09140990663;78.5;86.7
Eastern Mediterranean;Yemen;YEM;2019;31546691;37.273;62.727;10.459998;2.4099998;2.6699996;4.269999589999999;216;0;45664.81;0.0;187289;-2.77;190;701.714868602042;42.4;53.0
Africa;Zambia;ZMB;2019;18380477;44.072;55.928;2.7200005;9.460001;13.070002;4.2900006;857;1284;22926.27;8565.28;49548;-0.11;102;1268.12094056241;49.2;54.3
Africa;Zimbabwe;ZWE;2019;15354608;32.21;67.78999999999999;4.470001;40.98001;2.0200005;4.8300013;318;485;1353.12;0.0;114516;-0.96;160;1421.86859613585;63.3;54.7
